COD CLIENTE,COD UNID,COD SERVICIO,F. Inicio,Fecha Fin,Requeridos_sum,PersonalEstimado_sum,COMPAÑÍA,CLIENTE,UNIDAD,SERVICIO,Lider Zonal,Zona,macro zona,Personal_Real,Total_Registros,COMPAÑÍA_ASIG,CLIENTE_ASIG,UNIDAD_ASIG,SERVICIO_ASIG,Registros_Duplicados,CLIENTE_FINAL,UNIDAD_FINAL,SERVICIO_FINAL
176426,26566,48,2025-04-15,2099-12-31,1,1.0,J&V Resguardo S.A.C.,INVERSIONES MARITIMAS UNIVERSALES DEPOSITOS S.A.,IMUDESA ALMACÉN SAVAR OQUENDO,AGENTE SEGURIDAD 12 HRS L/S DÍA,SANTIAGO BRAVO,ZONA N9,ZONA NORTE,1,1,J&V Resguardo S.A.C.,INVERSIONES MARITIMAS UNIVERSALES DEPOSITOS S.A.,Imudesa Almacén Savar Oquendo,AGENTE SEGURIDAD 12 HRS L/S DÍA,0,INVERSIONES MARITIMAS UNIVERSALES DEPOSITOS S.A.,IMUDESA ALMACÉN SAVAR OQUENDO,AGENTE SEGURIDAD 12 HRS L/S DÍA
108413,9636,152,2023-12-01,2099-12-31,2,3.0,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,PLUSPETROL SEDE LAS MALVINAS LOTE 56-88,SUPERVISOR SEGURIDAD 12 HRS L/D NOCHE,JOSE CANAL BACA,REGION CUZCO,REGION SUR,2,2,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,Pluspetrol Sede Las Malvinas Lote 56-88,SUPERVISOR SEGURIDAD 12 HRS L/D NOCHE,0,PLUSPETROL PERU CORPORATION S.A.,PLUSPETROL SEDE LAS MALVINAS LOTE 56-88,SUPERVISOR SEGURIDAD 12 HRS L/D NOCHE
153728,21873,165,2022-07-11,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,SUMINISTROS FERMAR S.A.C.,FERMAR SEDE VILLA EL SALVADOR 1,SUPERVISOR SEGURIDAD 24 HRS L/D,CARLOS HUAMAN,ZONA S2,ZONA SUR,3,3,J&V Resguardo S.A.C.,SUMINISTROS FERMAR S.A.C.,Fermar Sede Villa El Salvador 1,SUPERVISOR SEGURIDAD 24 HRS L/D,0,SUMINISTROS FERMAR S.A.C.,FERMAR SEDE VILLA EL SALVADOR 1,SUPERVISOR SEGURIDAD 24 HRS L/D
156823,26518,41,2025-05-10,2025-05-10,1,1.1666666666666667,J&V Resguardo S.A.C.,CALIZA CEMENTO INCA S.A.,SERV. ADIC. CALIZA CEMENTO INCA SEDE OQUENDO,AGENTE SEGURIDAD 12 HRS L/D DÍA,LUIS TENORIO,ZONA N4,ZONA NORTE,0,,,,,,,CALIZA CEMENTO INCA S.A.,SERV. ADIC. CALIZA CEMENTO INCA SEDE OQUENDO,AGENTE SEGURIDAD 12 HRS L/D DÍA
131380,23097,95,2023-04-30,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,PERUANA DE MOLDEADOS S.A.C.,PAMOLSA ALMACÉN CEDI 3,AGENTE SEGURIDAD 24 HRS L/D,ALEXANDER ASCANIO,ZONA N5,ZONA NORTE,3,3,J&V Resguardo S.A.C.,PERUANA DE MOLDEADOS S.A.C.,Pamolsa Almacén Cedi 3,AGENTE SEGURIDAD 24 HRS L/D,0,PERUANA DE MOLDEADOS S.A.C.,PAMOLSA ALMACÉN CEDI 3,AGENTE SEGURIDAD 24 HRS L/D
70588,13426,41,2025-05-09,2025-05-09,4,4.666666666666667,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,SERV. ADIC. REAL PLAZA PIURA,AGENTE SEGURIDAD 12 HRS L/D DÍA,JUAN CRUZ,REGION PIURA,REGION NORTE,0,,,,,,,REAL PLAZA S.R.L.,SERV. ADIC. REAL PLAZA PIURA,AGENTE SEGURIDAD 12 HRS L/D DÍA
7409,3420,48,2025-03-24,2099-12-31,5,5.0,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC CAMPUS SAN ISIDRO,AGENTE SEGURIDAD 12 HRS L/S DÍA,JOSE ESCALANTE,ZONA C11,ZONA CENTRO,5,5,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC Campus San Isidro,AGENTE SEGURIDAD 12 HRS L/S DÍA,0,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC CAMPUS SAN ISIDRO,AGENTE SEGURIDAD 12 HRS L/S DÍA
8795,1000,53,2019-03-01,2099-12-31,1,1.0,J&V Resguardo S.A.C.,ELECTRO DUNAS S.A.A.,SEDE PISCO,AGENTE SEGURIDAD 12 HRS L/V (DÍA),LUIS MELO,REGION ICA,REGION SUR,1,1,J&V Resguardo S.A.C.,ELECTRO DUNAS S.A.A.,Sede Pisco,AGENTE SEGURIDAD 12 HRS L/V (DÍA),0,ELECTRO DUNAS S.A.A.,SEDE PISCO,AGENTE SEGURIDAD 12 HRS L/V (DÍA)
81865,25936,95,2024-09-18,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C.,SANNA CLÍNICA DEL SUR AREQUIPA,AGENTE SEGURIDAD 24 HRS L/D,PERCY PEREZ,REGION AREQUIPA,REGION SUR,2,2,J&V Resguardo S.A.C.,SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C.,Sanna Clínica del Sur Arequipa,AGENTE SEGURIDAD 24 HRS L/D,0,SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C.,SANNA CLÍNICA DEL SUR AREQUIPA,AGENTE SEGURIDAD 24 HRS L/D
82747,14097,95,2019-02-18,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,LOCAL CIUDAD MOQUEGUA,AGENTE SEGURIDAD 24 HRS L/D,BERARDO ROMERO,REGION MOQUEGUA,REGION SUR,2,2,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,Local Ciudad Moquegua,AGENTE SEGURIDAD 24 HRS L/D,0,FERREYROS SOCIEDAD ANÓNIMA,LOCAL CIUDAD MOQUEGUA,AGENTE SEGURIDAD 24 HRS L/D
