Cliente,Unidad,Servicio,Personal_Estimado,COMPAÑÍA_SV,CLIENTE_SV,UNIDAD_SV,SERVICIO_SV,Factor_Personas_Promedio,Fecha_Servicio,Registros_Agregados,Clave_Servicio,COD CLIENTE,COD UNID,COD SERVICIO,Personal_Real,COMPAÑÍA_ASIG,CLIENTE_ASIG,UNIDAD_ASIG,SERVICIO_ASIG,Total_Registros,CLIENTE_FINAL,UNIDAD_FINAL,SERVICIO_FINAL,Diferencia_Personal,Porcentaje_Cobertura,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
63394,23172, 30,3,J&V Resguardo S.A.C.,63394,23172, 30,0.16666666666666666,2025-05-24,1,63394_23172_ 30,,,,0,,,,,,63394,23172, 30,,,0,0,FALTA
70588,17423, 42,1,J&V Resguardo S.A.C.,70588,17423, 42,0.16666666666666666,2025-05-05,1,70588_17423_ 42,,,,0,,,,,,70588,17423, 42,,,0,0,FALTA
70588,13230,106,2,J&V Resguardo S.A.C.,70588,13230,106,0.16666666666666666,2025-02-01,1,70588_13230_106,70588,13230,106,3,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Cusco,JEFE DE GRUPO 24 HRS L/D,3,70588,13230,106,1,150.0,0,1,SOBRECARGA
55081,25538,394,2,J&V Resguardo S.A.C.,55081,25538,394,0.5,2024-12-03,1,55081_25538_394,55081,25538,394,4,J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,APM Inland Callao CCTV,SUPERVISOR CENTRO CONTROL 24 HRS L/D,4,55081,25538,394,2,200.0,0,2,SOBRECARGA
134403,20428,B42,1,J&V Resguardo S.A.C.,134403,20428,B42,0.0,2025-02-07,1,134403_20428_B42,134403,20428,B42,1,J&V Resguardo S.A.C.,INTRADEVCO INDUSTRIAL S.A.,Intradevco Lurin Almacén CD3,SUPERVISOR SEGURIDAD 08 HRS L/S (DÍA),1,134403,20428,B42,0,100.0,0,0,EXACTO
89419,25614,080,1,J&V Resguardo S.A.C.,89419,25614,080,1.0,2024-06-22,1,89419_25614_080,,,,0,,,,,,89419,25614,080,,,0,0,FALTA
23973,2832, 49,1,J&V Resguardo S.A.C.,23973,2832, 49,0.0,2015-09-07,1,23973_2832_ 49,,,,0,,,,,,23973,2832, 49,,,0,0,FALTA
56913,19733, 42,1,J&V Resguardo S.A.C.,56913,19733, 42,0.16666666666666666,2022-06-01,1,56913_19733_ 42,,,,0,,,,,,56913,19733, 42,,,0,0,FALTA
119803,21146, 41,1,J&V Resguardo S.A.C.,119803,21146, 41,0.16666666666666666,2025-03-17,1,119803_21146_ 41,,,,0,,,,,,119803,21146, 41,,,0,0,FALTA
9463,22034, 59,1,J&V Resguardo S.A.C.,9463,22034, 59,0.0,2022-08-01,1,9463_22034_ 59,,,,0,,,,,,9463,22034, 59,,,0,0,FALTA
63181,7946, 16,1,J&V Resguardo S.A.C.,63181,7946, 16,0.16666666666666666,2020-05-01,1,63181_7946_ 16,,,,0,,,,,,63181,7946, 16,,,0,0,FALTA
