Compañía,Cliente,Unidad,Servicio,F. Inicio,Fecha Fin,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Eficiencia_Asignacion_Pct,Estado_Asignacion
J&V Resguardo S.A.C.,7139,26316,J00,2025-05-16,2025-05-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,7139,23450,100,2023-07-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,62544,21914,M02,2024-12-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,102591,8357,15,2025-03-24,2099-12-31,0,0.17,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,83736,26663,291,2025-01-01,2099-12-31,1,1.5,1,0.5,0.5,66.67,-0.5,0.5,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,22801,23037,Q01,2025-01-17,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,85652,25047,48,2025-01-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,23649,15107,080,2019-07-01,2099-12-31,0,6.92,6,0.15384615384615385,0.9230769230769231,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,75979,6554,152,2025-03-17,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,23418,15942,092,2025-05-01,2099-12-31,0,2.33,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,68590,20033,48,2023-03-01,2099-12-31,9,1.0,1,0.0,0.0,900.0,8.0,0.0,8.0,11.11,SOBRECARGA
J&V Resguardo S.A.C.,126664,13486,95,2023-05-01,2099-12-31,8,7.0,6,0.16666666666666666,1.0,114.29,1.0,0.0,1.0,87.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,22888,1966,95,2022-10-01,2099-12-31,4,2.33,2,0.16666666666666666,0.3333333333333333,171.67,1.67,0.0,1.67,58.25,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,56913,19713,95,2022-05-01,2099-12-31,8,7.0,6,0.16666666666666666,1.0,114.29,1.0,0.0,1.0,87.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,23001,26412,95,2025-03-01,2099-12-31,10,9.33,8,0.16666666666666666,1.3333333333333333,107.18,0.67,0.0,0.67,93.3,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,155474,22217,95,2022-09-15,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,59077,1279,95,2012-01-01,2099-12-31,12,11.67,10,0.16666666666666666,1.6666666666666665,102.83,0.33,0.0,0.33,97.25,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,81865,24625,69,2025-05-19,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,75608,5421,48,2024-05-17,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,75598,2578,106,2020-03-20,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,154886,22159,18,2023-03-11,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,7196,1367,106,2024-01-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,56951,26029,95,2024-10-05,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,93918,5162,95,2014-06-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,71436,9696,53,2016-09-01,2099-12-31,2,1.0,1,0.0,0.0,200.0,1.0,0.0,1.0,50.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,56913,19727,95,2023-11-01,2099-12-31,7,2.33,2,0.16666666666666666,0.3333333333333333,300.43,4.67,0.0,4.67,33.29,SOBRECARGA
J&V Resguardo S.A.C.,8795,1001,53,2017-11-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,55080,22889,113,2023-03-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,72263,15680,337,2022-09-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,7006,20139,I31,2021-12-15,2099-12-31,2,1.0,1,0.0,0.0,200.0,1.0,0.0,1.0,50.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,64990,21316,26,2022-02-14,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,111643,18381,41,2020-07-01,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,7783,25563,152,2024-06-07,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,134403,15736,165,2019-09-03,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,7139,23452,48,2024-07-20,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,23649,106,074,2012-10-01,2099-12-31,0,1.0,1,0.0,0.0,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,111643,18379,95,2020-06-30,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
