Compañía,NOMBRE_CLIENTE,Cliente,NOMBRE_UNIDAD,Unidad,NOMBRE_SERVICIO,Servicio,Grupo,NOMBRE_GRUPO,MACROZONA,ZONA,Fecha_Inicio_Min,Fecha_Fin_Max,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,IN GROUP CONSULTORIA E INVERSIONES S.A.C.,141493,In Group C.E.I Edificio Armendariz,19321,AGENTE RECEPCIONISTA 12 HRS L/V (DÍA),10,"","",ZONA CENTRO,ZONA C12,2021-11-02,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,MINERA LA ZANJA S.R.L.,79130,Minera La Zanja,2954,OPERADOR CENTRO CONTROL 24 HRS L/D,113,0047,GRUPO BUENAVENTURA,REGION NORTE,REGION CAJAMARCA,2020-05-01,2099-12-31,3,3.0,2,0.5,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,ADIDAS PERU S.A.C,63394,Adidas 504 MBFO Minka Callao,15977,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,"","",ZONA RETAIL,ZONA RT2,2022-05-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,AGP PERU S.A.C.,66303,AGP Local Guillermo Dansey Lima II,7300,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),156,"","",ZONA NORTE,ZONA N8,2017-05-08,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,KALLPA GENERACION S.A.,120215,Kallpa CDA Área Casa de Maquinas Cerro del Aguila,15095,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,0125,GRUPO KALLPA,REGION CENTRO,REGION HUANCAVELICA,2021-09-01,2099-12-31,2,1.5,1,0.5,0.5,133.33,0.5,0.0,0.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,PACIFICO S.A. ENT. PRESTADORA DE SALUD,9400,Pacifico Salud Agencia Juan de Arona,21201,AGENTE RECEPCIONISTA 12 HRS L/D (DÍA),08,0093,GRUPO PACIFICO,ZONA CENTRO,ZONA C6,2023-05-01,2099-12-31,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,70588,Plaza Center Lurín,25065,PREVENCIONISTA 24 HRS L/D,882,"","",ZONA RETAIL,ZONA RT1,2024-04-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,STATKRAFT PERU S.A.,67486,Statkraft Proyecto Lupi,25997,AGENTE CONDUCTOR 24 HRS L/D,398,"","",REGION SUR,REGION MOQUEGUA,2024-11-20,2099-12-31,3,3.0,2,0.5,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,TRUPAL S.A.,24546,Carretera Piura Sullana,19349,SUPERVISOR SEGURIDAD 24 HRS L/D,165,0002,GRUPO GLORIA,REGION NORTE,REGION PIURA,2020-11-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - C,64432,CPPQ Planta El Agustino,2591,INSPECTOR DE PATRIMONIO 12 HRS L/S DÍA,083,0045,GRUPO BRECA,ZONA CENTRO,ZONA C3,2025-01-01,2099-12-31,0,3.0,3,0.0,0.0,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,HERSIL S.A.C. LABORATORIOS INDUSTRIALES FARMACEUTI,24539,Hersil Los Frutales,22873,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C2,2023-03-01,2099-12-31,6,4.666666666666667,4,0.16666666666666666,0.6666666666666666,128.57,1.33,0.0,1.33,SOBRECARGA_LEVE
Liderman Servicios S.A.C.,MALL PLAZA PERÚ S.A.,112043,Mall Plaza Sede Trujillo Parking,10043,AGENTE PARKING 12 HRS L/D TARDE,L58,"","",ZONA PARKING Y DELIVERY,ZONA PD7,2023-07-01,2099-12-31,1,4.666666666666667,4,0.16666666666666666,0.6666666666666666,21.43,-3.67,3.67,0.0,FALTA
