Compañía,NOMBRE_CLIENTE,Cliente,NOMBRE_UNIDAD,Unidad,NOMBRE_SERVICIO,Servicio,Grupo,NOMBRE_GRUPO,MACROZONA,ZONA,Fecha_Inicio_Min,Fecha_Fin_Max,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,AUTOPISTA DEL NORTE S.A.C.,62722,AUNOR Oficina San Isidro,26172,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA CENTRO,ZONA C7,2024-12-01,2099-12-31,2,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,171.43,0.83,0.0,0.83,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,XIMESA S.A.C.,98454,Reyplast Patrimonial Lurín,25172,INSPECTOR DE PATRIMONIO 08 HRS L/S DÍA (NIVEL 2A),P50,"","",ZONA SUR,ZONA S7,2024-04-01,2099-12-31,2,3.0,3,0.0,0.0,66.67,-1.0,1.0,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,INVERSIONES SAN BORJA S A,72263,Torre Trazo y Torre del Arte Prevencionista,15679,PREVENCIONISTA 12 HRS L/S DÍA,D85,0045,GRUPO BRECA,ZONA RETAIL,ZONA RT1,2020-06-10,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,FUNDICION CENTRAL S A,22849,Fundicion ATE,347,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C2,2006-01-01,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,70588,Real Plaza Santa Clara,13239,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA RETAIL,ZONA RT1,2025-02-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,SOFTYS PERU S.A.C.,87857,Softys Sede Arequipa,26569,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),156,"","",REGION SUR,REGION AREQUIPA,2025-04-01,2099-12-31,2,1.0,1,0.0,0.0,200.0,1.0,0.0,1.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",62594,Southern Perú Tía María y Valle Tambo,20208,AGENTE SEGURIDAD 24 HRS L/D - 2DA V,709,"","",REGION SUR,REGION AREQUIPA,2025-05-01,2099-12-31,48,51.0,34,0.5,17.0,94.12,-3.0,3.0,0.0,FALTA
J&V Resguardo S.A.C.,CLI GESTIONES ADUANERAS S.A.,98235,Local Residencia,7596,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA RESIDENCIAS,ZONA RG2,2015-02-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,POLIMETALES S.A.C.,96415,Polimetales Local Argentina 2 - 1375,11560,JEFE DE GRUPO 12 HRS L/S DÍA,100,"","",ZONA CENTRO,ZONA C5,2022-05-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,9463,Interbank Refrigerantes,17734,AGENTE REFRIGERANTE 12 HRS L/S DÍA,F02,"","",ZONA CENTRO,ZONA C8,2020-02-01,2099-12-31,7,13.0,13,0.0,0.0,53.85,-6.0,6.0,0.0,FALTA
J&V Resguardo S.A.C.,INDUSTRIAS DEL ENVASE S A,154886,Industrias del Envase Sede Bocanegra Callao,22159,AGENTE SEGURIDAD 08 HRS L/S DÍA,18,"","",ZONA NORTE,ZONA N3,2023-03-11,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,23444,Planta Huachipa,93,INSPECTOR DE PATRIMONIO 24 HRS L/D,092,0002,GRUPO GLORIA,ZONA CENTRO,ZONA C1,2017-01-01,2099-12-31,0,4.666666666666667,4,0.16666666666666666,0.6666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,CUSHMAN & WAKEFIELD PERU S.A.,99042,Edificio Plaza República Torre II,24377,AGENTE SEGURIDAD 12 HRS L/S DÍA,48,"","",ZONA CENTRO,ZONA C7,2023-11-01,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,CONAFOVICER,161437,Conafovicer Sede Tacna,26653,AGENTE SEGURIDAD 12 HRS DOM ROTATIVO,Q88,"","",REGION SUR,REGION TACNA,2025-05-12,2099-12-31,1,0.16666666666666666,1,0.16666666666666666,0.16666666666666666,600.0,0.83,0.0,0.83,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,PROMUNE S.A.C,124933,Promune Lurín,13180,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S6,2022-05-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,PERUANA DE MOLDEADOS S.A.C.,131380,Pamolsa Planta Gambetta,14706,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA NORTE,ZONA N5,2019-05-01,2099-12-31,8,9.333333333333334,8,0.16666666666666666,1.3333333333333333,85.71,-1.33,1.33,0.0,FALTA_LEVE
Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS ORIENTE S.A.C.,91529,HB Uno Iquitos La Marina Parking,16112,AGENTE PARKING 08 HRS L/D DÍA,F36,"","",ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,2024-09-16,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
Liderman Servicios S.A.C.,MALL PLAZA PERÚ S.A.,112043,Mall Plaza Sede Bellavista Parking,10046,CAJERO PARKING 08 HRS L/D DIA,L59,"","",ZONA PARKING Y DELIVERY,ZONA PD4,2023-07-01,2099-12-31,3,3.5,3,0.16666666666666666,0.5,85.71,-0.5,0.5,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,23444,Planta Huachipa,93,AGENTE SEGURIDAD 12 HRS D/V (NOCHE),640,0002,GRUPO GLORIA,ZONA CENTRO,ZONA C1,2017-10-08,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,GESTION DE SERVICIOS AMBIENTALES S.A.C.,66944,Disal Trujillo,7733,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",OTROS,REGION TRUJILLO,2015-04-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,CONSORCIO ENERGETICO DE HUANCAVELICA S A,78726,Proyecto Caylloma,7992,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,0047,GRUPO BUENAVENTURA,REGION SUR,REGION AREQUIPA,2020-05-01,2099-12-31,2,1.5,1,0.5,0.5,133.33,0.5,0.0,0.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,QUIMTIA S.A.,121313,Quimtia Distribución Lurín,12465,AGENTE RECEPCIONISTA 12 HRS L/S DÍA,324,"","",ZONA SUR,ZONA S7,2022-05-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,PESQUERA CENTINELA SOCIEDAD ANONIMA CERRADA,114731,Pesquera Centinela Quilca,11816,AGENTE SEGURIDAD 24 HRS L/D,95,0071,GRUPO ROMERO,REGION SUR,REGION AREQUIPA,2017-10-20,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,102591,UPN Sede Sur Chorrillos,17874,AGENTE SEGURIDAD 08 HRS DOMINGOS DÍA,15,0107,GRUPO LAUREATE,ZONA SUR,ZONA S4,2025-01-01,2099-12-31,1,0.3333333333333333,2,0.16666666666666666,0.3333333333333333,300.0,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,DP WORLD LOGISTICS S.R.L.,55024,DPW Logistics Argentina CCTV,21246,OPERADOR CCTV 24 HRS L/D,626,0127,GRUPO DP WORLD,ZONA NORTE,ZONA N7,2021-12-09,2099-12-31,7,7.0,6,0.16666666666666666,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,GESTION DE SERVICIOS AMBIENTALES S.A.C.,66944,Disal Chorrillos,7725,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S4,2015-04-01,2099-12-31,4,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,171.43,1.67,0.0,1.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,23649,Guardianía Las Orquídeas,4257,GUARDIANIA DE RESIDENCIA 24 HRS L/D,190,0002,GRUPO GLORIA,ZONA RESIDENCIAS,ZONA RG1,2013-08-01,2099-12-31,1,1.1538461538461537,1,0.15384615384615385,0.15384615384615385,86.67,-0.15,0.15,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,BANCO INTERAMERICANO DE FINANZAS,11883,Banbif Oficina Arequipa Cayma,25107,AGENTE SEGURIDAD 11 HRS L/S (DÍA),29,"","",REGION SUR,REGION AREQUIPA,2025-01-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,BANCO DE CREDITO DEL PERU,7139,Serv. Adic. BCP Antimarca Mercado Mayorista,25525,AGENTE ANTIMARCA 09:30 L/V + 04:30 SÁB DÍA,J00,"","",REGION NORTE,REGION TRUJILLO,2025-05-02,2025-05-31,0,2.0,2,0.0,0.0,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,HERMES TRANSPORTES BLINDADOS  S A,60776,BN - Cajamarca - Lajas - Municipalidad,25636,AGENTE REFRIGERANTE 08 HRS L/S DÍA,I96,"","",REGION NORTE,REGION CAJAMARCA,2024-07-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,MEDLOG PAITA S.A.C.,198472,Medlog Almacén Paita Piura,25708,AGENTE SEGURIDAD SENIOR 12 HRS SAB Y DOM NOCHE,P97,"","",REGION NORTE,REGION PIURA,2024-12-31,2099-12-31,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,7409,UPC Campus Monterrico Surco,3419,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0107,GRUPO LAUREATE,ZONA SUR,ZONA S1,2024-02-01,2099-12-31,7,7.0,6,0.16666666666666666,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,URBANIZADORA JARDIN S A,9416,Centro Comercial Paso 28 de Julio,5185,AGENTE SEGURIDAD 12 HRS L/S DÍA,48,0045,GRUPO BRECA,ZONA CENTRO,ZONA C12,2019-08-07,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,GSP TRUJILLO S.A.C.,152599,AUNA Clínica Camino Real Trujillo,21710,AGENTE PREVENCIÓN 24 HRS L/D,K23,0129,GRUPO AUNA,REGION NORTE,REGION TRUJILLO,2022-05-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,SOFTYS PERU S.A.C.,87857,Softys Oficinas Panorama Surco,20445,AGENTE SEGURIDAD 12 HRS L/V NOCHE,54,"","",ZONA SUR,ZONA S6,2021-08-23,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,RICH DE LOS ANDES S.R.L.,155177,Rich de los Andes Sede Miraflores,22203,AGENTE SEGURIDAD 14 HRS L/D NOCHE,79,"","",ZONA CENTRO,ZONA C12,2023-07-04,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,23649,Planta Cajamarca,466,AGENTE BALANCERO 12 HRS L/S DÍA,G81,0002,GRUPO GLORIA,REGION NORTE,REGION CAJAMARCA,2020-11-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,INVERSIONES MIRANAVES SOCIEDAD ANONIMA CERRADA - M,144268,Tasa Planta Ilo,19862,AGENTE SEGURIDAD 24 HRS L/D,95,0045,GRUPO BRECA,REGION SUR,REGION MOQUEGUA,2021-02-01,2099-12-31,1,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,42.86,-1.33,1.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,TOYOTA DEL PERU S A,24449,Toyota Local San Isidro,23406,AGENTE SEGURIDAD ESPECIAL 12 HRS L/S (DÍA),026,"","",ZONA NORTE,ZONA N4,2023-06-16,2099-12-31,0,1.0,1,0.0,0.0,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,PATRIMONIO EN FIDEICOMISO - EDIFICIO PARDO Y ALIAG,99378,Serv. Adic. Edificio Pardo y Aliaga,8098,AGENTE SEGURIDAD 12 HRS L/V (DÍA),53,0045,GRUPO BRECA,ZONA CENTRO,ZONA C6,2024-09-01,2099-12-31,0,1.0,1,0.0,0.0,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,56913,Backus Megacentro Lurín,20461,AGENTE SEGURIDAD 24 HRS L/D,95,0120,GRUPO BACKUS,ZONA SUR,ZONA S4,2021-11-16,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,AGROAURORA SOCIEDAD ANONIMA CERRADA - AGROAURORA S,99112,Planta Macacará,7731,AGENTE CONDUCTOR 12 HRS L/D NOCHE,005,0002,GRUPO GLORIA,REGION NORTE,REGION PIURA,2018-10-01,2099-12-31,0,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,LABORATORIOS AC FARMA S.A.,143729,Lab. AC Farma Calle 5 Los Hornos 110 Ate,19743,AGENTE SEGURIDAD 24 HRS L/D,95,0121,GRUPO AC FARMA,ZONA CENTRO,ZONA C3,2021-03-01,2099-12-31,4,4.666666666666667,4,0.16666666666666666,0.6666666666666666,85.71,-0.67,0.67,0.0,FALTA_LEVE
Liderman Servicios S.A.C.,ONCOCENTER PERU S.A.C.,144133,AUNA CBA Independencia Parking,23356,AGENTE PARKING 13 HRS L/V + 08 HRS SAB DÍA,M67,0129,GRUPO AUNA,ZONA PARKING Y DELIVERY,ZONA PD1,2023-07-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,59493,PUCP Cto. Cultural y Estacionamiento Esquilache,9517,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,"","",ZONA CENTRO,ZONA C6,2022-06-16,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,108413,Pluspetrol Sede Las Malvinas Lote 56-88,9636,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,"","",REGION SUR,REGION CUZCO,2025-01-01,2099-12-31,14,12.0,8,0.5,4.0,116.67,2.0,0.0,2.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,CONSORCIO INTI PUNKU,163392,Inti Punku AIJC Analista (Tareo),23428,ANALISTA DE DATOS 10 HRS L/S DÍA,Q53,"","",ZONA AVIACION,ZONA A1,2025-03-26,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,COMPANIA MINERA ARES S.A.C.,113623,ARES Servicio de Resguardos,10988,JEFE RESGUARDO 12 HRS L/S NIVEL 2 (DIA),P11,"","",ZONA RESGUARDOS,ZONA CR1,2017-05-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,CONSTRUCCIONES ELECTROMECANICAS DELCROSA S.A. O DE,58113,Delcrosa Planta Argentina,3959,AGENTE SEGURIDAD 12 HRS L/V (DÍA),53,"","",ZONA CENTRO,ZONA C5,2025-04-19,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,CAL & CEMENTO SUR S.A.,22776,Planta Caracoto,301,AGENTE SEGURIDAD 24 HRS L/D,95,0002,GRUPO GLORIA,REGION SUR,REGION PUNO,2019-07-01,2099-12-31,32,30.333333333333332,26,0.16666666666666666,4.333333333333333,105.49,1.67,0.0,1.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,CONCRETOS SUPERMIX SOCIEDAD ANONIMA - CONCRETOS SU,75979,Matarani El Triangulo,26509,AGENTE SEGURIDAD 08 HRS SÁB DÍA,808,0002,GRUPO GLORIA,REGION SUR,REGION AREQUIPA,2025-04-22,2099-12-31,0,0.16666666666666666,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,MEDLOG PERU S.A.,7783,Medlog Almacén Nestor Gambetta Callao,25563,SUPERVISOR SEGURIDAD 12 HRS L/D (DIA),151,"","",ZONA NORTE,ZONA N9,2024-06-07,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,RED DE ENERGIA DEL PERU SA,90912,Terreno Viru,26344,GUARDIAN 24 HRS L/D,080,0059,GRUPO RED,REGION NORTE,REGION TRUJILLO,2025-01-10,2099-12-31,0,2.0,1,1.0,1.0,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,DP WORLD LOGISTICS S.R.L.,55024,DPW Logistics Paita 2 Operaciones,21158,AGENTE SEGURIDAD 24 HRS L/D,95,0127,GRUPO DP WORLD,REGION NORTE,REGION PIURA,2021-12-09,2099-12-31,4,4.666666666666667,4,0.16666666666666666,0.6666666666666666,85.71,-0.67,0.67,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,FINANCIERA QAPAQ S.A.,64990,Qapaq Agencia San Juan de Miraflores,2004,AGENTE SEGURIDAD 10 HRS L/S DIA,26,"","",ZONA CENTRO,ZONA C8,2021-03-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,56913,Backus CD Cajamarca,19710,AGENTE SEGURIDAD 24 HRS L/D,95,0120,GRUPO BACKUS,REGION NORTE,REGION CAJAMARCA,2021-03-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,URBANIZADORA JARDIN S A,9416,Centro Comercial Paso 28 de Julio,5185,AGENTE SEGURIDAD 24 HRS L/D,95,0045,GRUPO BRECA,ZONA CENTRO,ZONA C12,2014-07-01,2099-12-31,1,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,42.86,-1.33,1.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,LINDE PERU S.R.L.,133200,Praxair Pisco,15145,AGENTE SEGURIDAD 08 HRS L/V (DÍA),20,0092,GRUPO PRAXAIR,REGION SUR,REGION ICA,2023-10-19,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,73633,Fargoline Local Anexo 2 (Primax),26376,AGENTE SEGURIDAD 24 HRS L/D,95,0044,GRUPO FERREYROS,ZONA RETAIL,ZONA RT2,2025-02-14,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,22739,Binswanger Edificio Altavista San Isidro,3096,AGENTE SEGURIDAD 24 HRS L/S,99,"","",ZONA CENTRO,ZONA C6,2025-01-01,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,E & M S.R.L.,94444,E & M Local Av. Argentina N°1937,19380,AGENTE SEGURIDAD 12 HRS L/V (DÍA),53,"","",ZONA NORTE,ZONA N8,2020-12-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,SAN FERNANDO S.A.,8330,San Fernando Planta de Beneficio Huaral,23845,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION NORTE,REGION HUACHO,2023-10-16,2099-12-31,7,7.0,6,0.16666666666666666,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,COMPAÑIA MINERA SANTA LUISA S.A.,143212,Minera Santa Luisa Huanzala Socavón,21438,AGENTE DE SEGURIDAD SOCAVON 24 HRS L/D,K00,"","",REGION NORTE,REGION HUARAZ,2021-12-06,2099-12-31,6,6.0,4,0.5,2.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,AEROPUERTOS ANDINOS DEL PERU S.A.,71965,AAP Aeropuerto Arequipa,12905,SUPERVISOR SEGURIDAD 24 HRS L/D,165,"","",REGION SUR,REGION AREQUIPA,2025-01-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,CBC MARKET S.A.C.,141641,CBC Sala de Ventas Real Plaza Piura,19029,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,"","",REGION NORTE,REGION PIURA,2024-12-06,2099-12-31,2,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,171.43,0.83,0.0,0.83,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,T & T INGENIERIA Y CONSTRUCCION S.A,137219,T & T Ing. y Const. La Concordia VES,17442,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S2,2019-12-19,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,55081,Serv. Adic. APM Inland Almacén Oquendo,26175,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA NORTE,ZONA N4,2025-05-05,2025-05-05,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,HIPERMERCADOS TOTTUS S.A.,54550,Hipermercados Tottus Mall Plaza Trujillo,22849,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION NORTE,REGION TRUJILLO,2025-03-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,MEDLOG PERU S.A.,7783,Meglod Almacén Argentina Callao,25564,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,"","",ZONA NORTE,ZONA N1,2024-06-07,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,PSA MARINE PERU OFFSHORE S.A.,230065,PSA Marine Talara,26690,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",REGION NORTE,REGION PIURA,2025-04-26,2099-12-31,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,7006,Repsol La Rinconada Trujillo,23732,AGENTE SEGURIDAD 08 HRS J/D NOCHE,Q83,0099,GRUPO REPSOL,REGION NORTE,REGION TRUJILLO,2025-05-19,2099-12-31,1,0.6666666666666666,1,0.16666666666666666,0.6666666666666666,150.0,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,MEDIFARMA S A,23973,Medifarma Local Ate,2832,AGENTE SEGURIDAD ESPECIAL 12 HRS L/S (DÍA),026,0013,GRUPO MEDIFARMA,ZONA CENTRO,ZONA C3,2016-05-31,2099-12-31,0,1.0,1,0.0,0.0,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,56913,Backus CD Chimbote,19712,AGENTE SEGURIDAD 24 HRS L/D,95,0120,GRUPO BACKUS,REGION NORTE,REGION CHIMBOTE,2021-03-01,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,COMPAÑIA MINERA ANTAPACCAY S.A.,117232,Escolta,11008,ESCOLTA 08 HRS L/D DÍA,970,"","",REGION SUR,REGION CUZCO,2020-06-01,2099-12-31,22,32.0,16,1.0,16.0,68.75,-10.0,10.0,0.0,FALTA
J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,59493,PUCP Aulas Móviles C,17672,AGENTE SEGURIDAD 08 HRS L/S DÍA,18,"","",ZONA NORTE,ZONA N8,2024-03-11,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,COMPAÑIA MINERA SANTA LUISA S.A.,143212,Minera Santa Luisa Pativilca,21985,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION NORTE,REGION HUARAZ,2022-07-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,FARMINDUSTRIA S.A.,62544,Farmindustria Terreno Baldio Lurín,25660,AGENTE SEGURIDAD 24 HRS L/D,95,0133,GRUPO FARMINDUSTRIA,ZONA SUR,ZONA S6,2024-07-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
