Cliente_Codigo;Unidad_Codigo;Servicio_Codigo;Personal_Real;Personal_Estimado;Diferencia;Cobertura_Pct;Estado;Es_Numerico;Longitud_Codigo
75608;2665;41;3;0;;0;SIN_DATOS;75608;5
22739;25659;53;1;0;;0;SIN_DATOS;22739;5
55081;12408;42;1;0;;0;SIN_DATOS;55081;5
73633;12847;95;4;0;;0;SIN_DATOS;73633;5
75979;15122;95;3;0;;0;SIN_DATOS;75979;5
56948;1478;41;5;0;;0;SIN_DATOS;56948;5
55024;21151;95;27;0;;0;SIN_DATOS;55024;5
163391;23426;95;2;0;;0;SIN_DATOS;163391;6
7044;2639;95;3;0;;0;SIN_DATOS;7044;4
56913;19704;48;1;0;;0;SIN_DATOS;56913;5
56913;19720;80;1;0;;0;SIN_DATOS;56913;5
24546;1148;41;2;0;;0;SIN_DATOS;24546;5
96577;7271;53;1;0;;0;SIN_DATOS;96577;5
143723;19683;95;3;0;;0;SIN_DATOS;143723;6
64990;20955;26;1;0;;0;SIN_DATOS;64990;5
24535;3278;95;3;0;;0;SIN_DATOS;24535;5
223108;26462;99;4;0;;0;SIN_DATOS;223108;6
134997;21229;95;4;0;;0;SIN_DATOS;134997;6
102591;8563;48;1;0;;0;SIN_DATOS;102591;6
83990;19644;95;3;0;;0;SIN_DATOS;83990;5
8330;23839;42;1;0;;0;SIN_DATOS;8330;4
22888;1966;95;4;0;;0;SIN_DATOS;22888;5
81865;8567;95;5;0;;0;SIN_DATOS;81865;5
8330;23878;95;2;0;;0;SIN_DATOS;8330;4
22776;15103;95;5;0;;0;SIN_DATOS;22776;5
22776;22440;95;10;0;;0;SIN_DATOS;22776;5
15507;431;41;2;0;;0;SIN_DATOS;15507;5
24546;7248;92;10;0;;0;SIN_DATOS;24546;5
85652;13459;95;5;0;;0;SIN_DATOS;85652;5
111643;18378;53;1;0;;0;SIN_DATOS;111643;6
23418;1143;95;9;0;;0;SIN_DATOS;23418;5
169018;26018;95;2;0;;0;SIN_DATOS;169018;6
85536;20948;95;3;0;;0;SIN_DATOS;85536;5
124933;13180;95;3;0;;0;SIN_DATOS;124933;6
23251;8181;95;2;0;;0;SIN_DATOS;23251;5
59493;17635;18;17;0;;0;SIN_DATOS;59493;5
8601;8307;96;16;0;;0;SIN_DATOS;8601;4
7006;23575;42;1;0;;0;SIN_DATOS;7006;4
70588;17698;95;23;0;;0;SIN_DATOS;70588;5
102591;8517;16;1;0;;0;SIN_DATOS;102591;6
99927;15421;95;3;0;;0;SIN_DATOS;99927;5
55081;9764;48;1;0;;0;SIN_DATOS;55081;5
111548;24979;95;3;0;;0;SIN_DATOS;111548;6
65770;20318;80;2;0;;0;SIN_DATOS;65770;5
64608;26445;48;1;0;;0;SIN_DATOS;64608;5
62803;21906;27;1;0;;0;SIN_DATOS;62803;5
8330;23845;95;7;0;;0;SIN_DATOS;8330;4
133200;19556;95;2;0;;0;SIN_DATOS;133200;6
134403;20428;95;2;0;;0;SIN_DATOS;134403;6
67379;1816;95;2;0;;0;SIN_DATOS;67379;5
22949;17480;95;2;0;;0;SIN_DATOS;22949;5
56948;1472;41;1;0;;0;SIN_DATOS;56948;5
156823;26518;95;2;0;;0;SIN_DATOS;156823;6
22953;22953;95;3;0;;0;SIN_DATOS;22953;5
24546;7247;21;3;0;;0;SIN_DATOS;24546;5
10864;847;60;3;0;;0;SIN_DATOS;10864;5
96577;19635;53;2;0;;0;SIN_DATOS;96577;5
90912;26578;48;1;0;;0;SIN_DATOS;90912;5
197232;26649;95;2;0;;0;SIN_DATOS;197232;6
64432;2591;41;2;0;;0;SIN_DATOS;64432;5
111643;18396;53;3;0;;0;SIN_DATOS;111643;6
111548;26240;95;3;0;;0;SIN_DATOS;111548;6
111643;18387;95;2;0;;0;SIN_DATOS;111643;6
80843;26657;95;7;0;;0;SIN_DATOS;80843;5
198472;25708;41;10;0;;0;SIN_DATOS;198472;6
108201;9476;41;6;0;;0;SIN_DATOS;108201;6
55024;21154;48;1;0;;0;SIN_DATOS;55024;5
98156;7577;95;2;0;;0;SIN_DATOS;98156;5
80450;3038;41;2;0;;0;SIN_DATOS;80450;5
134403;15736;99;2;0;;0;SIN_DATOS;134403;6
67486;8175;95;2;0;;0;SIN_DATOS;67486;5
23085;21015;95;2;0;;0;SIN_DATOS;23085;5
116220;20381;95;5;0;;0;SIN_DATOS;116220;6
8330;23843;41;1;0;;0;SIN_DATOS;8330;4
133200;15167;95;5;0;;0;SIN_DATOS;133200;6
