COMPAÑÍA,COD CLIENTE,COD UNID,COD_SERV_JOIN,F. Inicio,Fecha Fin,Requeridos_sum,PersonalEstimado_sum,CLIENTE,UNIDAD,SERVICIO,Lider Zonal,Zona,macro zona,Personal Real,Deficit/Superavit,% Cobertura,% Cobertura Sobrante/Faltante,Estado
J&V Resguardo S.A.C.,62594,8891,I46,2025-05-01,2099-12-31,2,3.0,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",SOUTHERN PERÚ TOQUEPALA,SUPERVISOR DE CAMPO 24 HRS L/D,BERARDO ROMERO,REGION TACNA,REGION SUR,3,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,22776,301,42,2019-07-01,2099-12-31,3,3.5,CAL & CEMENTO SUR S.A.,PLANTA CARACOTO,AGENTE SEGURIDAD 12 HRS L/D NOCHE,JUAN CARLOS LEON,REGION PUNO,REGION SUR,4,0.5,114.28571428571428,14.28571428571428,Excedente
J&V Resguardo S.A.C.,75608,2667,95,2023-08-03,2099-12-31,2,2.3333333333333335,TECNOLOGICA DE ALIMENTOS S.A.,TASA PLANTA FLOTA CALLAO NORTE,AGENTE SEGURIDAD 24 HRS L/D,ALEXANDER ASCANIO,ZONA N5,ZONA NORTE,11,8.666666666666666,471.42857142857144,371.42857142857144,Excedente
J&V Resguardo S.A.C.,7409,6633,372,2025-03-24,2099-12-31,5,5.0,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC CAMPUS SAN MIGUEL,AGENTE SEGURIDAD 08 HRS L/S TARDE,JORGE VILCHEZ,ZONA C9,ZONA CENTRO,5,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,64990,2766,26,2021-03-01,2099-12-31,1,1.0,FINANCIERA QAPAQ S.A.,QAPAQ AGENCIA PUENTE PIEDRA,AGENTE SEGURIDAD 10 HRS L/S DIA,LUIS PEREZ,ZONA C8,ZONA CENTRO,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,120215,11844,95,2021-09-01,2099-12-31,2,2.3333333333333335,KALLPA GENERACION S.A.,KALLPA TERRENO CHILCA,AGENTE SEGURIDAD 24 HRS L/D,GILMER GARCIA,ZONA S5,ZONA SUR,3,0.6666666666666665,128.57142857142856,28.57142857142856,Excedente
J&V Resguardo S.A.C.,7034,2619,95,2022-03-02,2099-12-31,10,11.666666666666666,INVERSIONES NACIONALES DE TURISMO S.A.,WESTIN LIMA HOTEL & CONVENTION CENTER,AGENTE SEGURIDAD 24 HRS L/D,LUIS PEREZ,ZONA C8,ZONA CENTRO,10,-1.666666666666666,85.71428571428572,-14.28571428571428,Déficit
J&V Resguardo S.A.C.,55081,7499,95,2024-05-01,2099-12-31,20,23.333333333333332,MAERSK LOGISTICS & SERVICES PERU S.A.,APM INLAND PRINCIPAL & DEMARES,AGENTE SEGURIDAD 24 HRS L/D,ALEXANDER ASCANIO,ZONA N5,ZONA NORTE,24,0.6666666666666679,102.85714285714288,2.857142857142869,Excedente
J&V Resguardo S.A.C.,151094,26571,519,2025-04-01,2099-12-31,1,1.1666666666666667,OPERADORA PERUANA DE CINES S.A.C,CINEPOLIS SEDE LIMA NORTE,AGENTE SEGURIDAD 08 HRS L/D TARDE,JUAN MAYHUIRE,ZONA N7,ZONA NORTE,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,111212,26189,49,2025-04-07,2025-05-03,1,1.0,H & M HENNES & MAURITZ S.A.C.,SERV. ADIC. H & M JOCKEY PLAZA,AGENTE SEGURIDAD 12 HRS L/S NOCHE,JUAN CANGALAYA,ZONA RT1,ZONA RETAIL,0,,,,Déficit
