Cliente_Final,COD UNID,Servicio_Limpio,Personal_Real,Compañía_PA,Nombre_Cliente_PA,Nombre_Unidad_PA,Nombre_Servicio_PA,Clave_Mezclado,Cliente_Final_right,Unidad_Str,Servicio_Limpio_right,Personal_Estimado,Compañía_SV,Nombre_Cliente_SV,Nombre_Unidad_SV,Nombre_Servicio_SV,Zona_SV,Macrozona_SV,Diferencia,Cobertura_Pct,Estado
,,,0,,,,,0136_22953_95,0136,22953,95,2.3333333333333335,J&V Resguardo S.A.C.,,Apex Residencia La Molina,AGENTE SEGURIDAD 24 HRS L/D,ZONA RG1,ZONA RESIDENCIAS,,,INDETERMINADO
113623,10988.0,118,16,J&V Resguardo S.A.C.,COMPANIA MINERA ARES S.A.C.,ARES Servicio de Resguardos,RESGUARDO 12 HRS L/S (DÍA),113623_10988_118,113623,10988,118,16.0,J&V Resguardo S.A.C.,COMPANIA MINERA ARES S.A.C.,ARES Servicio de Resguardos,RESGUARDO 12 HRS L/S (DÍA),ZONA CR1,ZONA RESGUARDOS,0.0,100.0,EXACTO
55024,21177.0,O87,1,J&V Resguardo S.A.C.,DP WORLD LOGISTICS S.R.L.,DPW Logistics Argentina Accesos,PNP 12 HRS L/D (DÍA),55024_21177_O87,55024,21177,O87,1.1666666666666667,J&V Resguardo S.A.C.,DP WORLD LOGISTICS S.R.L.,DPW Logistics Argentina Accesos,PNP 12 HRS L/D (DÍA),ZONA N7,ZONA NORTE,-0.17,85.71,FALTA
59493,17635.0,48,6,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Servicios Generales Campus,AGENTE SEGURIDAD 12 HRS L/S DÍA,59493_17635_48,59493,17635,48,12.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Servicios Generales Campus,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA N8,ZONA NORTE,-6.0,50.0,FALTA
65770,26617.0,I87,1,J&V Resguardo S.A.C.,ORYGEN PERU S.A.A.,Enel Motorizado Chosica (Tareo),SUPERVISOR MOTORIZADO 12 HRS L/D DÍA,65770_26617_I87,65770,26617,I87,1.1666666666666667,J&V Resguardo S.A.C.,ORYGEN PERU S.A.A.,Enel Motorizado Chosica (Tareo),SUPERVISOR MOTORIZADO 12 HRS L/D DÍA,ZONA C1,ZONA CENTRO,-0.17,85.71,FALTA
7592,4992.0,F83,2,J&V Resguardo S.A.C.,COMPAÑIA MINERA ANTAMINA S.A.,Antamina Mina Huaraz,SUPERVISOR MASS Y CAPACITACION 08 HRS L/D DÍA,7592_4992_F83,7592,4992,F83,3.5,J&V Resguardo S.A.C.,COMPAÑIA MINERA ANTAMINA S.A.,Antamina Mina Huaraz,SUPERVISOR MASS Y CAPACITACION 08 HRS L/D DÍA,REGION HUARAZ,REGION NORTE,-1.5,57.14,FALTA
57387,13161.0,42,2,J&V Resguardo S.A.C.,BLUE MARLIN BEACH CLUB S.A.,Decameron Agencia Comercial,AGENTE SEGURIDAD 12 HRS L/D NOCHE,57387_13161_42,57387,13161,42,1.1666666666666667,J&V Resguardo S.A.C.,BLUE MARLIN BEACH CLUB S.A.,Decameron Agencia Comercial,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA C10,ZONA CENTRO,0.83,171.43,SOBRECARGA
101493,8160.0,184,2,J&V Resguardo S.A.C.,"AVENIDA MIRO QUESADA, AURELIO N° 350, AVENIDA EL ROSARIO N° 474-4",Golf Millenium San Isidro,OPERADOR CENTRO DE CONTROL 12 HRS L/D DÍA,101493_8160_184,101493,8160,184,1.1666666666666667,J&V Resguardo S.A.C.,"AVENIDA MIRO QUESADA, AURELIO N° 350, AVENIDA EL R",Golf Millenium San Isidro,OPERADOR CENTRO DE CONTROL 12 HRS L/D DÍA,ZONA C11,ZONA CENTRO,0.83,171.43,SOBRECARGA
70588,13236.0,95,5,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Guardia Civil Chorrillos,AGENTE SEGURIDAD 24 HRS L/D,70588_13236_95,70588,13236,95,4.666666666666667,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Guardia Civil Chorrillos,AGENTE SEGURIDAD 24 HRS L/D,ZONA RT1,ZONA RETAIL,0.33,107.14,SOBRECARGA
68590,20140.0,Q03,1,J&V Resguardo S.A.C.,REFINERIA LA PAMPILLA S.A.A,Relapasa Mandos Medios,SUPERVISOR CECON RFL 12 HRS L/S DÍA,68590_20140_Q03,68590,20140,Q03,1.0,J&V Resguardo S.A.C.,REFINERIA LA PAMPILLA S.A.A,Relapasa Mandos Medios,SUPERVISOR CECON RFL 12 HRS L/S DÍA,ZONA REPSOL MANDOS MEDIOS,ZONA SUR,0.0,100.0,EXACTO
153921,21925.0,156,1,J&V Resguardo S.A.C.,POLYROOF SOCIEDAD ANONIMA CERRADA - POLYROOF S.A.C.,Polyroof Sede Lurín,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),153921_21925_156,153921,21925,156,1.0,J&V Resguardo S.A.C.,POLYROOF SOCIEDAD ANONIMA CERRADA - POLYROOF S.A.C,Polyroof Sede Lurín,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),ZONA S7,ZONA SUR,0.0,100.0,EXACTO
102591,17874.0,15,1,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Sur Chorrillos,AGENTE SEGURIDAD 08 HRS DOMINGOS DÍA,102591_17874_15,102591,17874,15,0.3333333333333333,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Sur Chorrillos,AGENTE SEGURIDAD 08 HRS DOMINGOS DÍA,ZONA S4,ZONA SUR,0.67,300.0,SOBRECARGA
120689,12254.0,M58,1,Liderman Servicios S.A.C.,MALL PLAZA INMOBILIARIA S.A.,Mall Plaza Sede Comas Parking,SUPERVISOR PARKING 08 HRS L/D DÍA,120689_12254_M58,120689,12254,M58,1.1666666666666667,Liderman Servicios S.A.C.,MALL PLAZA INMOBILIARIA S.A.,Mall Plaza Sede Comas Parking,SUPERVISOR PARKING 08 HRS L/D DÍA,ZONA PD6,ZONA PARKING Y DELIVERY,-0.17,85.71,FALTA
111643,19781.0,460,4,J&V Resguardo S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,Local San Isidro Real 2 Centro Control,OPERADOR CENTRO CONTROL 24 HRS L/D (3 TURNOS),111643_19781_460,111643,19781,460,3.5,J&V Resguardo S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,Local San Isidro Real 2 Centro Control,OPERADOR CENTRO CONTROL 24 HRS L/D (3 TURNOS),ZONA RT1,ZONA RETAIL,0.5,114.29,SOBRECARGA
,,,0,,,,,151525_21467_L09,151525,21467,L09,1.0,J&V Resguardo S.A.C.,DESARROLLO EDUCATIVO S.A.,Toulouse Lautrec Campus Chacarilla,VALET PARKING 12 HRS L/S TARDE,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,,,INDETERMINADO
108413,9636.0,512,2,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,Pluspetrol Sede Las Malvinas Lote 56-88,SUPERVISOR GENERAL 12 HRS L/D DÍA,108413_9636_512,108413,9636,512,1.5,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,Pluspetrol Sede Las Malvinas Lote 56-88,SUPERVISOR GENERAL 12 HRS L/D DÍA,REGION CUZCO,REGION SUR,0.5,133.33,SOBRECARGA
68156,1878.0,106,2,J&V Resguardo S.A.C.,SUDAMERICANA DE FIBRAS S.A.,SDF Local Gambetta,JEFE DE GRUPO 24 HRS L/D,68156_1878_106,68156,1878,106,2.3333333333333335,J&V Resguardo S.A.C.,SUDAMERICANA DE FIBRAS S.A.,SDF Local Gambetta,JEFE DE GRUPO 24 HRS L/D,ZONA N9,ZONA NORTE,-0.33,85.71,FALTA
8330,23832.0,95,2,J&V Resguardo S.A.C.,SAN FERNANDO S.A.,San Fernando Granja Iwanco Huacho,AGENTE SEGURIDAD 24 HRS L/D,8330_23832_95,8330,23832,95,3.0,J&V Resguardo S.A.C.,SAN FERNANDO S.A.,San Fernando Granja Iwanco Huacho,AGENTE SEGURIDAD 24 HRS L/D,REGION HUACHO,REGION NORTE,-1.0,66.67,FALTA
64608,26443.0,95,2,J&V Resguardo S.A.C.,DIVECENTER S.A.C.,Divemotor Local Moquegua,AGENTE SEGURIDAD 24 HRS L/D,64608_26443_95,64608,26443,95,2.3333333333333335,J&V Resguardo S.A.C.,DIVECENTER S.A.C.,Divemotor Local Moquegua,AGENTE SEGURIDAD 24 HRS L/D,REGION MOQUEGUA,REGION SUR,-0.33,85.71,FALTA
63394,25618.0,787,1,J&V Resguardo S.A.C.,ADIDAS PERU S.A.C,Adidas PE 208 FO Arequipa Center,"AGENTE SEGURIDAD 08 HRS VIE, SAB Y DOM (DÍA)",63394_25618_787,63394,25618,787,1.1666666666666667,J&V Resguardo S.A.C.,ADIDAS PERU S.A.C,Adidas PE 208 FO Arequipa Center,"AGENTE SEGURIDAD 08 HRS VIE, SAB Y DOM (DÍA)",REGION AREQUIPA,REGION SUR,-0.17,85.71,FALTA
12037,25000.0,124,2,J&V Resguardo S.A.C.,CEMENTOS PACASMAYO S.A.A.,Sede Resguardo,RESGUARDO 12 HRS L/S DÍA,12037_25000_124,12037,25000,124,2.0,J&V Resguardo S.A.C.,CEMENTOS PACASMAYO S.A.A.,Sede Resguardo,RESGUARDO 12 HRS L/S DÍA,ZONA CR1,ZONA RESGUARDOS,0.0,100.0,EXACTO
,,,0,,,,,86429_25499_42,86429,25499,42,2.3333333333333335,J&V Resguardo S.A.C.,GAS NATURAL DE LIMA Y CALLAO S.A.,Serv. Adic. EPR Javier Prado,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA S1,ZONA SUR,,,INDETERMINADO
69222,8139.0,156,1,J&V Resguardo S.A.C.,UNILEVER ANDINA PERU S.A.,Unilever Perú Local Miraflores,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),69222_8139_156,69222,8139,156,1.0,J&V Resguardo S.A.C.,UNILEVER ANDINA PERU S.A.,Unilever Perú Local Miraflores,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),ZONA C12,ZONA CENTRO,0.0,100.0,EXACTO
71436,9773.0,95,9,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Parra Arequipa,AGENTE SEGURIDAD 24 HRS L/D,71436_9773_95,71436,9773,95,9.333333333333334,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Parra Arequipa,AGENTE SEGURIDAD 24 HRS L/D,REGION AREQUIPA,REGION SUR,-0.33,96.43,FALTA
62594,20173.0,Q40,1,J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Southern Perú Cuajone Brigada Respuesta Emergencias,SUPERVISOR DE BRIGADA 12 HRS L/D DIA,62594_20173_Q40,62594,20173,Q40,1.5,J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",Southern Perú Cuajone Brigada Respuesta Emergencias,SUPERVISOR DE BRIGADA 12 HRS L/D DIA,REGION MOQUEGUA,REGION SUR,-0.5,66.67,FALTA
24549,9066.0,Q15,3,J&V Resguardo S.A.C.,LIMA AIRPORT PARTNERS S.R.L.,LAP AIJC Retenes (Tareo),AGENTE SEGURIDAD 08 HRS L/D ROTATIVO,24549_9066_Q15,24549,9066,Q15,11.666666666666666,J&V Resguardo S.A.C.,LIMA AIRPORT PARTNERS S.R.L.,LAP AIJC Retenes (Tareo),AGENTE SEGURIDAD 08 HRS L/D ROTATIVO,ZONA A1,ZONA AVIACION,-8.67,25.71,FALTA
8570,26614.0,Q69,3,J&V Resguardo S.A.C.,MIBANCO - BANCO DE LA MICROEMPRESA S.A.,Mibanco Sede Surquillo,OPERADOR CENTRO CONTROL Y ALARMAS 24 HRS L/D (3 TURNOS),8570_26614_Q69,8570,26614,Q69,3.5,J&V Resguardo S.A.C.,MIBANCO - BANCO DE LA MICROEMPRESA S.A.,Mibanco Sede Surquillo,OPERADOR CENTRO CONTROL Y ALARMAS 24 HRS L/D (3 TURNOS),ZONA C8,ZONA CENTRO,-0.5,85.71,FALTA
122009,12674.0,95,2,J&V Resguardo S.A.C.,SHOUGANG HIERRO PERU S.A.A.,SHP Local Aeropuerto,AGENTE SEGURIDAD 24 HRS L/D,122009_12674_95,122009,12674,95,2.3333333333333335,J&V Resguardo S.A.C.,SHOUGANG HIERRO PERU S.A.A.,SHP Local Aeropuerto,AGENTE SEGURIDAD 24 HRS L/D,ZONA A1,ZONA AVIACION,-0.33,85.71,FALTA
59493,17635.0,375,2,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Servicios Generales Campus,OPERADOR CENTRO CONTROL 08 HRS L/D TARDE,59493_17635_375,59493,17635,375,3.5,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Servicios Generales Campus,OPERADOR CENTRO CONTROL 08 HRS L/D TARDE,ZONA N8,ZONA NORTE,-1.5,57.14,FALTA
78042,8404.0,459,1,J&V Resguardo S.A.C.,APM TERMINALS CALLAO SOCIEDAD ANONIMA,APM Callao Security,OPERADOR CENTRO CONTROL 12 HRS L/D (NOCHE),78042_8404_459,78042,8404,459,1.1666666666666667,J&V Resguardo S.A.C.,APM TERMINALS CALLAO SOCIEDAD ANONIMA,APM Callao Security,OPERADOR CENTRO CONTROL 12 HRS L/D (NOCHE),ZONA N6,ZONA NORTE,-0.17,85.71,FALTA
9604,8829.0,48,1,J&V Resguardo S.A.C.,TAI HENG S A,Tai Heng Local Jr. Ucayali N°704,AGENTE SEGURIDAD 12 HRS L/S DÍA,9604_8829_48,9604,8829,48,1.0,J&V Resguardo S.A.C.,TAI HENG S A,Tai Heng Local Jr. Ucayali N°704,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C4,ZONA CENTRO,0.0,100.0,EXACTO
,,,0,,,,,59493_22936_372,59493,22936,372,1.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,"PUCP Pabellon ""Z""",AGENTE SEGURIDAD 08 HRS L/S TARDE,ZONA N8,ZONA NORTE,,,INDETERMINADO
75608,2680.0,96,13,J&V Resguardo S.A.C.,TECNOLOGICA DE ALIMENTOS S.A.,Tasa Planta Malabrigo,AGENTE SEGURIDAD 24 HRS L/D (Acuartelado),75608_2680_96,75608,2680,96,12.0,J&V Resguardo S.A.C.,TECNOLOGICA DE ALIMENTOS S.A.,Tasa Planta Malabrigo,AGENTE SEGURIDAD 24 HRS L/D (Acuartelado),REGION TRUJILLO,REGION NORTE,1.0,108.33,SOBRECARGA
71965,12909.0,42,1,J&V Resguardo S.A.C.,AEROPUERTOS ANDINOS DEL PERU S.A.,AAP Aeropuerto Tacna,AGENTE SEGURIDAD 12 HRS L/D NOCHE,71965_12909_42,71965,12909,42,1.1666666666666667,J&V Resguardo S.A.C.,AEROPUERTOS ANDINOS DEL PERU S.A.,AAP Aeropuerto Tacna,AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION TACNA,REGION SUR,-0.17,85.71,FALTA
61262,14671.0,95,2,J&V Resguardo S.A.C.,COMPAÑIA PERUANA DE RADIODIFUSION S.A.,America TV Retransmisora Chorrillos,AGENTE SEGURIDAD 24 HRS L/D,61262_14671_95,61262,14671,95,2.3333333333333335,J&V Resguardo S.A.C.,COMPAÑIA PERUANA DE RADIODIFUSION S.A.,America TV Retransmisora Chorrillos,AGENTE SEGURIDAD 24 HRS L/D,ZONA S4,ZONA SUR,-0.33,85.71,FALTA
111643,18377.0,48,1,J&V Resguardo S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,Local San Isidro Real 1,AGENTE SEGURIDAD 12 HRS L/S DÍA,111643_18377_48,111643,18377,48,1.0,J&V Resguardo S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,Local San Isidro Real 1,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA RT1,ZONA RETAIL,0.0,100.0,EXACTO
200341,25759.0,O30,1,Liderman Servicios S.A.C.,GRAM ABF CONSULTORIA DE INVERSIONES S.A.,Oficinas Gram ABF Parking,OPERARIO 08 HRS L/S DÍA,200341_25759_O30,200341,25759,O30,1.0,Liderman Servicios S.A.C.,GRAM ABF CONSULTORIA DE INVERSIONES S.A.,Oficinas Gram ABF Parking,OPERARIO 08 HRS L/S DÍA,ZONA PD1,ZONA PARKING Y DELIVERY,0.0,100.0,EXACTO
23001,26424.0,882,2,J&V Resguardo S.A.C.,SOLGAS S.A.,Solgas Centro Distribución Miraflores,PREVENCIONISTA 24 HRS L/D,23001_26424_882,23001,26424,882,2.3333333333333335,J&V Resguardo S.A.C.,SOLGAS S.A.,Solgas Centro Distribución Miraflores,PREVENCIONISTA 24 HRS L/D,ZONA C10,ZONA CENTRO,-0.33,85.71,FALTA
,,,0,,,,,7006_21391_95,7006,21391,95,2.3333333333333335,J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,Repsol Parque de las Leyendas San Miguel,AGENTE SEGURIDAD 24 HRS L/D,ZONA C9,ZONA CENTRO,,,INDETERMINADO
108413,9571.0,41,7,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,Pluspetrol Sede Pisco,AGENTE SEGURIDAD 12 HRS L/D DÍA,108413_9571_41,108413,9571,41,4.666666666666667,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,Pluspetrol Sede Pisco,AGENTE SEGURIDAD 12 HRS L/D DÍA,REGION ICA,REGION SUR,2.33,150.0,SOBRECARGA
,,,0,,,,,70588_13415_41,70588,13415,41,2.3333333333333335,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Serv. Adic. Real Plaza Cusco,AGENTE SEGURIDAD 12 HRS L/D DÍA,REGION CUZCO,REGION SUR,,,INDETERMINADO
93918,5161.0,95,2,J&V Resguardo S.A.C.,CONSORCIO TRANSMANTARO S.A.,CTM SE Carabayllo,AGENTE SEGURIDAD 24 HRS L/D,93918_5161_95,93918,5161,95,2.3333333333333335,J&V Resguardo S.A.C.,CONSORCIO TRANSMANTARO S.A.,CTM SE Carabayllo,AGENTE SEGURIDAD 24 HRS L/D,ZONA N2,ZONA NORTE,-0.33,85.71,FALTA
106688,9133.0,106,2,J&V Resguardo S.A.C.,MATHIESEN PERU S.A.C.,Mathiesen Local San Luis,JEFE DE GRUPO 24 HRS L/D,106688_9133_106,106688,9133,106,2.3333333333333335,J&V Resguardo S.A.C.,MATHIESEN PERU S.A.C.,Mathiesen Local San Luis,JEFE DE GRUPO 24 HRS L/D,ZONA C4,ZONA CENTRO,-0.33,85.71,FALTA
22949,17482.0,165,2,J&V Resguardo S.A.C.,MOLITALIA S.A,Molitalia Planta Venezuela,SUPERVISOR SEGURIDAD 24 HRS L/D,22949_17482_165,22949,17482,165,2.3333333333333335,J&V Resguardo S.A.C.,MOLITALIA S.A,Molitalia Planta Venezuela,SUPERVISOR SEGURIDAD 24 HRS L/D,ZONA C9,ZONA CENTRO,-0.33,85.71,FALTA
7034,2616.0,95,5,J&V Resguardo S.A.C.,INVERSIONES NACIONALES DE TURISMO S.A.,Hotel Libertador Cusco,AGENTE SEGURIDAD 24 HRS L/D,7034_2616_95,7034,2616,95,4.666666666666667,J&V Resguardo S.A.C.,INVERSIONES NACIONALES DE TURISMO S.A.,Hotel Libertador Cusco,AGENTE SEGURIDAD 24 HRS L/D,REGION CUZCO,REGION SUR,0.33,107.14,SOBRECARGA
111643,18385.0,41,1,J&V Resguardo S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,Local San Isidro Real 12,AGENTE SEGURIDAD 12 HRS L/D DÍA,111643_18385_41,111643,18385,41,1.1666666666666667,J&V Resguardo S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,Local San Isidro Real 12,AGENTE SEGURIDAD 12 HRS L/D DÍA,ZONA RT1,ZONA RETAIL,-0.17,85.71,FALTA
55081,7499.0,99,2,J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,APM Inland Principal & Demares,AGENTE SEGURIDAD 24 HRS L/S,55081_7499_99,55081,7499,99,2.0,J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,APM Inland Principal & Demares,AGENTE SEGURIDAD 24 HRS L/S,ZONA N5,ZONA NORTE,0.0,100.0,EXACTO
,,,0,,,,,55712_1018_080,55712,1018,080,1.1538461538461537,J&V Resguardo S.A.C.,AGROINDUSTRIAL DEL PERU SOCIEDAD ANONIMA CERRADA,Centro de Acopio Concepción Huancayo,GUARDIAN 24 HRS L/D,REGION JUNIN,REGION CENTRO,,,INDETERMINADO
,,,0,,,,,24546_7247_021,24546,7247,021,2.3333333333333335,J&V Resguardo S.A.C.,TRUPAL S.A.,Local Huachipa 13,AGENTE CONTROL BALANZA 24 HRS L/D,ZONA C1,ZONA CENTRO,,,INDETERMINADO
59493,17647.0,18,2,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Facultad de Ciencias Y Artes de la Comunicación,AGENTE SEGURIDAD 08 HRS L/S DÍA,59493_17647_18,59493,17647,18,2.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Facultad de Ciencias Y Artes de la Comunicación,AGENTE SEGURIDAD 08 HRS L/S DÍA,ZONA N8,ZONA NORTE,0.0,100.0,EXACTO
181064,24605.0,95,4,J&V Resguardo S.A.C.,PERI - PERUANA SAC,Peri Peruana Sede Macrópolis Lurín,AGENTE SEGURIDAD 24 HRS L/D,181064_24605_95,181064,24605,95,2.3333333333333335,J&V Resguardo S.A.C.,PERI - PERUANA SAC,Peri Peruana Sede Macrópolis Lurín,AGENTE SEGURIDAD 24 HRS L/D,ZONA S7,ZONA SUR,1.67,171.43,SOBRECARGA
7139,24490.0,N47,1,J&V Resguardo S.A.C.,BANCO DE CREDITO DEL PERU,BCP - Coordinador,COORDINADOR DE SEGURIDAD 08 HRS L/V [DÍA],7139_24490_N47,7139,24490,N47,1.0,J&V Resguardo S.A.C.,BANCO DE CREDITO DEL PERU,BCP - Coordinador,COORDINADOR DE SEGURIDAD 08 HRS L/V [DÍA],ZONA CR1,ZONA RESGUARDOS,0.0,100.0,EXACTO
95362,23466.0,113,2,J&V Resguardo S.A.C.,BRIGHTCELL LOGISTICS PERU SOCIEDAD ANONIMA CERRADA - BRIGHTCELL L,Brighstar CD Lurín,OPERADOR CENTRO CONTROL 24 HRS L/D,95362_23466_113,95362,23466,113,2.3333333333333335,J&V Resguardo S.A.C.,BRIGHTCELL LOGISTICS PERU SOCIEDAD ANONIMA CERRADA,Brighstar CD Lurín,OPERADOR CENTRO CONTROL 24 HRS L/D,ZONA S6,ZONA SUR,-0.33,85.71,FALTA
8795,3181.0,95,2,J&V Resguardo S.A.C.,ELECTRO DUNAS S.A.A.,SET Paracas,AGENTE SEGURIDAD 24 HRS L/D,8795_3181_95,8795,3181,95,2.3333333333333335,J&V Resguardo S.A.C.,ELECTRO DUNAS S.A.A.,SET Paracas,AGENTE SEGURIDAD 24 HRS L/D,REGION ICA,REGION SUR,-0.33,85.71,FALTA
72749,26487.0,95,2,J&V Resguardo S.A.C.,ALBEMARCO S.A.C.,MMK Caminos del Inca Surco,AGENTE SEGURIDAD 24 HRS L/D,72749_26487_95,72749,26487,95,2.3333333333333335,J&V Resguardo S.A.C.,ALBEMARCO S.A.C.,MMK Caminos del Inca Surco,AGENTE SEGURIDAD 24 HRS L/D,ZONA S3,ZONA SUR,-0.33,85.71,FALTA
,,,0,,,,,144638_25152_A18,144638,25152,A18,1.5,J&V Resguardo S.A.C.,MINERA BARRICK PERU S.A.,Serv. Adic. Minera Barrick Pierina,AGENTE SEGURIDAD 12 HRS L/D DÍA.,REGION HUARAZ,REGION NORTE,,,INDETERMINADO
55081,17546.0,48,1,J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,APM Inland Planta Orica,AGENTE SEGURIDAD 12 HRS L/S DÍA,55081_17546_48,55081,17546,48,1.0,J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,APM Inland Planta Orica,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA N5,ZONA NORTE,0.0,100.0,EXACTO
59493,9517.0,48,1,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Cto. Cultural y Estacionamiento Esquilache,AGENTE SEGURIDAD 12 HRS L/S DÍA,59493_9517_48,59493,9517,48,1.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Cto. Cultural y Estacionamiento Esquilache,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C6,ZONA CENTRO,0.0,100.0,EXACTO
22743,4121.0,41,4,J&V Resguardo S.A.C.,AJINOMOTO DEL PERU S A,Ajinomoto Planta Callao (Tareo),AGENTE SEGURIDAD 12 HRS L/D DÍA,22743_4121_41,22743,4121,41,3.5,J&V Resguardo S.A.C.,AJINOMOTO DEL PERU S A,Ajinomoto Planta Callao (Tareo),AGENTE SEGURIDAD 12 HRS L/D DÍA,ZONA N4,ZONA NORTE,0.5,114.29,SOBRECARGA
,,,0,,,,,124172_26677_30,124172,26677,30,1.1666666666666667,J&V Resguardo S.A.C.,PROMOTORA GENESIS S.A.C.,Serv. Adic. Socopur Arena 1,AGENTE SEGURIDAD 11 HRS L/D (DÍA),ZONA C11,ZONA CENTRO,,,INDETERMINADO
9416,26457.0,944,1,J&V Resguardo S.A.C.,URBANIZADORA JARDIN S A,Paseo Begonias Flex II,AGENTE SEGURIDAD 10:30 HRS L/V  DIA,9416_26457_944,9416,26457,944,1.0,J&V Resguardo S.A.C.,URBANIZADORA JARDIN S A,Paseo Begonias Flex II,AGENTE SEGURIDAD 10:30 HRS L/V  DIA,ZONA C6,ZONA CENTRO,0.0,100.0,EXACTO
23085,5009.0,95,2,J&V Resguardo S.A.C.,YURA S.A.,Almacén Nazca,AGENTE SEGURIDAD 24 HRS L/D,23085_5009_95,23085,5009,95,2.3333333333333335,J&V Resguardo S.A.C.,YURA S.A.,Almacén Nazca,AGENTE SEGURIDAD 24 HRS L/D,REGION ICA,REGION SUR,-0.33,85.71,FALTA
144133,21686.0,K23,5,J&V Resguardo S.A.C.,ONCOCENTER PERU S.A.C.,AUNA Clínica Guardia Civil San Isidro Cdra. 3,AGENTE PREVENCIÓN 24 HRS L/D,144133_21686_K23,144133,21686,K23,4.666666666666667,J&V Resguardo S.A.C.,ONCOCENTER PERU S.A.C.,AUNA Clínica Guardia Civil San Isidro Cdra. 3,AGENTE PREVENCIÓN 24 HRS L/D,ZONA S1,ZONA SUR,0.33,107.14,SOBRECARGA
,,,0,,,,,177103_26013_41,177103,26013,41,2.3333333333333335,J&V Resguardo S.A.C.,ASOCIACION CIVIL CENTRO CULTURAL DEPORTIVO LIMA,Club Cultural Deportivo Lima Sede Chorrillos,AGENTE SEGURIDAD 12 HRS L/D DÍA,ZONA S4,ZONA SUR,,,INDETERMINADO
