Cliente_Final,COD UNID,Servicio_Limpio,Personal_Real,Compañía_PA,Nombre_Cliente_PA,Nombre_Unidad_PA,Nombre_Servicio_PA,Clave_Mezclado,Cliente_Final_right,Unidad_Str,Servicio_Limpio_right,Personal_Estimado,Compañía_SV,Nombre_Cliente_SV,Nombre_Unidad_SV,Nombre_Servicio_SV,Zona_SV,Macrozona_SV,Diferencia,Cobertura_Pct,Estado
93918,12866.0,95,2,J&V Resguardo S.A.C.,CONSORCIO TRANSMANTARO S.A.,CTM SE Carapongo Lima,AGENTE SEGURIDAD 24 HRS L/D,93918_12866_95,93918,12866,95,2.3333333333333335,J&V Resguardo S.A.C.,CONSORCIO TRANSMANTARO S.A.,CTM SE Carapongo Lima,AGENTE SEGURIDAD 24 HRS L/D,ZONA C1,ZONA CENTRO,-0.33,85.71,FALTA
68590,20033.0,I05,4,J&V Resguardo S.A.C.,REFINERIA LA PAMPILLA S.A.A,Relapasa Refinería La Pampilla Ventanilla,CHOFER CUATRIMOTO 24 HRS L/D,68590_20033_I05,68590,20033,I05,4.666666666666667,J&V Resguardo S.A.C.,REFINERIA LA PAMPILLA S.A.A,Relapasa Refinería La Pampilla Ventanilla,CHOFER CUATRIMOTO 24 HRS L/D,ZONA N5,ZONA NORTE,-0.67,85.71,FALTA
144133,23356.0,M66,1,Liderman Servicios S.A.C.,ONCOCENTER PERU S.A.C.,AUNA CBA Independencia Parking,VALET PARKING 13 HRS L/V + 08 HRS SAB DÍA,144133_23356_M66,144133,23356,M66,1.0,Liderman Servicios S.A.C.,ONCOCENTER PERU S.A.C.,AUNA CBA Independencia Parking,VALET PARKING 13 HRS L/V + 08 HRS SAB DÍA,ZONA PD1,ZONA PARKING Y DELIVERY,0.0,100.0,EXACTO
134103,25666.0,95,2,J&V Resguardo S.A.C.,MINERA BOROO MISQUICHILCA S.A.,Proyecto Conga 3 - Warehouse Trujillo,AGENTE SEGURIDAD 24 HRS L/D,134103_25666_95,134103,25666,95,2.3333333333333335,J&V Resguardo S.A.C.,MINERA BOROO MISQUICHILCA S.A.,Proyecto Conga 3 - Warehouse Trujillo,AGENTE SEGURIDAD 24 HRS L/D,REGION TRUJILLO,REGION NORTE,-0.33,85.71,FALTA
,,,0,,,,,9463_18426_285,9463,18426,285,2.3333333333333335,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Serv. Adic. Interbank MM Vea Centro Civico Lima,AGENTE SEGURIDAD 11 HRS L/D (NOCHE),ZONA C8,ZONA CENTRO,,,INDETERMINADO
229191,26660.0,95,8,J&V Resguardo S.A.C.,BPO TANK TERMINALS S.A.C.,BPO Tank Local Callao,AGENTE SEGURIDAD 24 HRS L/D,229191_26660_95,229191,26660,95,7.0,J&V Resguardo S.A.C.,BPO TANK TERMINALS S.A.C.,BPO Tank Local Callao,AGENTE SEGURIDAD 24 HRS L/D,ZONA N9,ZONA NORTE,1.0,114.29,SOBRECARGA
22888,378.0,95,6,J&V Resguardo S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,Hiraoka Tienda Abancay,AGENTE SEGURIDAD 24 HRS L/D,22888_378_95,22888,378,95,4.666666666666667,J&V Resguardo S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,Hiraoka Tienda Abancay,AGENTE SEGURIDAD 24 HRS L/D,ZONA C4,ZONA CENTRO,1.33,128.57,SOBRECARGA
59493,17635.0,K92,2,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Servicios Generales Campus,JEFE DE GRUPO 08 HRS L/S DÍA,59493_17635_K92,59493,17635,K92,2.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Servicios Generales Campus,JEFE DE GRUPO 08 HRS L/S DÍA,ZONA N8,ZONA NORTE,0.0,100.0,EXACTO
,,,0,,,,,156823_23402_95,156823,23402,95,4.666666666666667,J&V Resguardo S.A.C.,CALIZA CEMENTO INCA S.A.,Serv. Adic. Caliza Cemento Inca Sede Pisco,AGENTE SEGURIDAD 24 HRS L/D,REGION ICA,REGION SUR,,,INDETERMINADO
89419,20320.0,446,1,J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,Enel Coordinador Lima (Tareo),COORDINADOR 12 HRS L/S DIA,89419_20320_446,89419,20320,446,1.0,J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,Enel Coordinador Lima (Tareo),COORDINADOR 12 HRS L/S DIA,ZONA N8,ZONA NORTE,0.0,100.0,EXACTO
67486,8177.0,95,3,J&V Resguardo S.A.C.,STATKRAFT PERU S.A.,C.H. San Ignacio de Caylloma,AGENTE SEGURIDAD 24 HRS L/D,67486_8177_95,67486,8177,95,3.0,J&V Resguardo S.A.C.,STATKRAFT PERU S.A.,C.H. San Ignacio de Caylloma,AGENTE SEGURIDAD 24 HRS L/D,REGION AREQUIPA,REGION SUR,0.0,100.0,EXACTO
,,,0,,,,,75979_4184_37,75979,4184,37,0.16666666666666666,J&V Resguardo S.A.C.,CONCRETOS SUPERMIX SOCIEDAD ANONIMA - CONCRETOS SU,Cantera Cerro Verde,AGENTE SEGURIDAD 12 HRS DOM DÍA,REGION AREQUIPA,REGION SUR,,,INDETERMINADO
75604,2600.0,106,3,J&V Resguardo S.A.C.,EXSA S A,Exsa Trujillo (Planta Emulsión),JEFE DE GRUPO 24 HRS L/D,75604_2600_106,75604,2600,106,3.0,J&V Resguardo S.A.C.,EXSA S A,Exsa Trujillo (Planta Emulsión),JEFE DE GRUPO 24 HRS L/D,REGION TRUJILLO,REGION NORTE,0.0,100.0,EXACTO
133200,18911.0,156,1,J&V Resguardo S.A.C.,LINDE PERU S.R.L.,Linde Gas Callao,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),133200_18911_156,133200,18911,156,1.0,J&V Resguardo S.A.C.,LINDE PERU S.R.L.,Linde Gas Callao,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),ZONA N1,ZONA NORTE,0.0,100.0,EXACTO
,,,0,,,,,222706_26636_16,222706,26636,16,2.3333333333333335,J&V Resguardo S.A.C.,ASOCIACION PROMOTORA EDUCATIVA MARI BLANCA GREGORI,Serv. Adic. Colegio André Malraux Surco,AGENTE SEGURIDAD 08 HRS L/D DÍA,ZONA S3,ZONA SUR,,,INDETERMINADO
